MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"40067721","Investors take note! Legal Duplex near Lake Simcoe. Steps to downtown Barrie. Updated and well maintained 2 x 1-bedroom units with own laundries, hydro meters. Zoned RM1. Large Lot which would allow for future addition. FEATURES: Laminate flooring, neutral sunny décor, 1495 s.f. of living space, newer furnace, 2 sets of appliances, 62 x 130 lot with double drive parking for 6 cars, large deck and patio area, mature trees. (62913210)","2","2 + 0","1495.0000","House",,"25 GROVE Street W|Barrie, Ontario L4N1M6","-79.697842","44.395947","L4N1M6",,"$595,000 ","Single Family","6","Freehold",,,"Partial (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Beach, Marina, Park, Place of Worship, Public Transit, Schools",,"RM1","https://cdn.realtor.ca/listing/TS637496754308430000/reb17/highres/1/40067721_1.jpg"
"N5124226","One Of A Kind- Charming Fully Renovated Home On A Private 50 X 150 Lot- Backing Onto Big Cedar Golf & Country Club And Right Across From The Lake. Move In Ready Home With All The Bells And Whistles. Convenient Quiet Location- Close To All Amenities & New Development. Brand New Gourmet Kitchen With Quartz Counters, Brand New S/S Appliances, Center Island, 6"""" Hardwood Floors Through Out.**** EXTRAS **** All Elf, New S/S Kit Appliances, Washer Dryer All Windows & Roof Dec 2020. Move In Ready! Legal Description: Pt S Pt Lot 26 Con 6 Innisfil As In Ro1167083, Together With An Easement Over Parts 1, 2 & 3 Plan 51R38784 *Hwt Rental (27969300)","1","2",,"House",,"1556 HOUSTON AVE|Innisfil, Ontario","-79.530787","44.2950898","","Alcona","$649,000 ","Single Family",,"Freehold",,,"Crawl space","Baseboard heaters (Electric)","50 x 150 FT",,"$2,259",,"https://cdn.realtor.ca/listing/TS637496700977470000/reb82/highres/6/n5124226_1.jpg"
"S5123625","Wonderful 4 Bed, 3.1 Bath Semi Detached Located In Barrie's City Centre Steps To Shopping, Downtown, Lake , Public Transit & Easy Hwy Access. Open Concept Design On The Main Floor Allows For Easy Family Gatherings, Engineered Hardwood Through The Main Flr. 3 Bedrooms Upstairs, Master Offers 3 Pc Ensuite & Lrg Wlak-In Closet. The Lower Level Offers Great Potential For A Possible Second Suite With A Seperate Side Entrance. Private Fenced Yard With Deck .**** EXTRAS **** Inclusions: Fr,St,Dishwaher, Wa,Dr, Light Fixtures, All Window Blinds, Shed, Playset, Sandbox, Ecobee Thermostat, Garage Door Opener And Remote Exclusions: All Curtains & Hardware, Tv's & Tv Mounts, Shelf In Front Hall And Coat Racks. (27967547)","4","3 + 1",,"House",,"14A FERRIS LANE|Barrie, Ontario L4M2X7","-79.7001324","44.4033963","L4M2X7","City Centre","$599,900 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","25 x 122 FT","Hospital, Marina, Public Transit","$3,751.69",,"https://cdn.realtor.ca/listing/TS637496155802770000/reb82/highres/5/s5123625_1.jpg"
"40070823","Absolutely Stunning 3+1 Bedroom 3 Bathroom All Brick Detached Home With 2 Car Garage On A 54' Wide Lot! Located In Desirable East Bayfield! Moments From Schools, Parks, Shopping & Georgian College! Open Concept Kitchen With Large Island & Stainless Steel Appliances! Main Floor Family Room With Gas Fireplace! Walk-Out To A Large Patio (2018) & Excellent Private Backyard! Spacious & Bright Principal Rooms! Huge Master Bedroom with Ensuite & Walk-In Closet! New Roof (2020)! Finished Basement With Separate Bedroom/Office and Large Rec Room! Tons of Storage Space! A Must See! (62914038)","3","3 + 1","1700.0000","House",,"6 WATSON Drive|Barrie, Ontario L4M6W3","-79.70150076","44.42063325","L4M6W3",,"$599,900 ","Single Family",,"Freehold","Central Vacuum, Dishwasher, Refrigerator, Washer, Microwave Built-in, Window Coverings",,"Full (Finished)","Forced air","under 1/2 acre","Park, Schools, Shopping",,"Residential","https://cdn.realtor.ca/listing/TS637496694902470000/reb85/highres/3/40070823_1.jpg"
"S5123545","Absolutely Stunning 3+1 Bdrm 3 Bath All Brick Detached Home W/ 2 Car Garage On A 54' Wide Lot! Open Concept Kitchen With Large Island & S/S Appliances! Main Floor Family Room With Gas Fireplace! Walk-Out To A Large Patio (2018) & Excellent Private Backyard! Spacious & Bright Principal Rooms! Huge Master Bdrm With Ensuite & Walk-In Closet! New Roof (2020) Finished Basement With Separate Bedroom/Office And Large Rec Room! Tons Of Storage Space! A Must See!**** EXTRAS **** Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer, Dryer, Central Vacuum, Garage Door Opener, All Elfs, All Window Coverings. Rental:Hot Water Heater. Large Garage With Inside Access + Deep Driveway With No Sidewalk! Don't Miss This One! (27966083)","3","3 + 1",,"House",,"6 WATSON DR|Barrie, Ontario L4M6W3","-79.7024964","44.4201928","L4M6W3","East Bayfield","$599,900 ","Single Family","6","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","54.13 x 82.02 FT",,"$4,477.82",,"https://cdn.realtor.ca/listing/TS637496015023200000/reb82/highres/5/s5123545_1.jpg"
"40070390","This home is located in north end of Barrie near college and hospital. Home has nice curb appeal with a covered front porch and double doors leading to the foyer that has a door to access the garage from inside. Downstairs has large rec-room with gas fireplace filled with natural sunlight from the huge windows. There are also 3 bedrooms and a full bathroom in basement which all have large windows. The laundry room is clean and spacious. The Split landing when you walk in would be very easy to convert this home into having separate entrances. Upstairs there are two more bedrooms. A bright living room dining room, Well thought out kitchen design with bar stool seating and room for a breakfast table and chairs. Off the kitchen there is a sliding glass door leading to the deck in the fully fenced backyard. The master bedroom can easily fit a king size bed, Has his and hers walk in closets and its own ensuite complete with corner soaker tub and shower. The roof has also recently been replaced. This home is well kept and shows really well. PLEASE ADHERE TO COVID RULES FOR VIEWING, MASKS AND GLOVES MANDATORY. MINIMAL TOUCHING. DO NOT USE WASHROOMS. AGENTS AND 2 BUYERS MAX NO CHILDREN. (62911738)","3","2 + 3",,"House",,"68 BRIGHTON Street|Barrie, Ontario L4M6S3","-79.657659","44.409117","L4M6S3",,"$649,900 ","Single Family","3","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital",,"Residential","https://cdn.realtor.ca/listing/TS637495899604800000/reb17/highres/0/40070390_1.jpg"
"40066625","ALL BRICK BUNGALOW IN BARRIE'S NORTH END. CLOSE TO COLLEGE, HOSPITAL, HIGHWAY, PARKS AND RECREATION AND PUBLIC TRANSIT. WELL MAINTAINED BUNGALOW WITH DOUBLE CAR GARAGE WITH INSIDE ENTRY. BRIGHT OPEN CONCEPT KITCHEN. LARGE LIVING ROOM WITH PATIO DOORS THAT LEAD OUT TO FULLY FENCED BACKYARD.. PRIVATE DEN/OFFICE ON MAIN FLOOR. FEATURES INCLUDE: HARDWOOD FLOORS THROUGHOUT MAIN LEVEL, 2 BEDROOMS ON MAIN FLOOR, 3 BEDROOMS IN BASEMENT, MASSIVE GREAT ROOM AND SEPERATE RECROOM LOCATED IN BASEMENT, 2 FULL BATHS, AND INTERLOCK DOUBLE DRIVEWAY. PLEASE ADHERE TO COVID RULES FOR VIEWING, MASKS AND GLOVES MANDATORY. MINIMAL TOUCHING. DO NOT USE WASHROOMS. AGENTS AND 2 BUYERS MAX NO CHILDREN.OFFER PRESENTATION WILL BE MARCH 2nd AT 7PM. PLEASE REGISTER YOUR OFFER BY 5PM. ONLY SELLING AGENT WILL BE PRESENT AT OFFER PRESENTATION. SELLER RESERVES THE RIGHT TO REVIEW AND ACCEPT ANY PRE-EMPTIVE OFFERS. (62907975)","2","2 + 3","1428.0000","House",,"57 BRIGHTON Road|Barrie, Ontario L4M6S4","-79.65835118","44.40948492","L4M6S4",,"$649,900 ","Single Family",,"Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Stove, Washer, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Schools",,"RES","https://cdn.realtor.ca/listing/TS637496142295630000/reb17/highres/5/40066625_1.jpg"
"N5122174","This Amazing Corner 2 Story 3 Bedroom Home Sites On A Large 66Ft X165Ft Lot. 5 Minute Walk To Lake Simcoe. This Home Features A Large Circular Driveway With Tons Of Parking. Brand New Sliding Doors To Sun Room, Hvac, Plumbing Serviced, And Updated. Water Softener And Uv Light. Garage Completely Updated, New Roof, Siding, New Doors, Insulated, And Heated. This Home Is Ready To Be Moved Into And Enjoyed.**** EXTRAS **** Included:  Hwt Is A Rental.Fridge, Stove, Washer, Dryer. (27961244)","1","3",,"House",,"1052 EWART ST|Innisfil, Ontario L0L1C0","-79.5450429","44.269728","L0L1C0","Lefroy","$599,999 ","Single Family","4","Freehold",,,"Partial","Forced air (Natural gas)","66 x 165 FT ; 65.91 Ft X 137.13 Ft X 3.10 Ft X 19.57","Marina, Park","$2,444",,"https://cdn.realtor.ca/listing/TS637494266246770000/reb82/highres/4/n5122174_1.jpg"
"S5121202","Fully Detached East End Bungalow Close To College And The Hospital. 2 Bedroom 1 Bath Upper Section. 1 Bed 1 Bath Lower Section. Currently Tenanted. New Shingles, New Furnace, Parking For 3 Plus Driveway Space. (27957122)","2","1 + 2",,"House",,"5 QUINLAN RD|Barrie, Ontario L4M6T2","-79.6483805","44.4113858","L4M6T2","Codrington","$649,000 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","40.91 x 109.58 FT",,"$3,835",,"https://cdn.realtor.ca/listing/TS637493409682270000/reb82/highres/2/s5121202_1.jpg"
"40069804","Fully Detached East End Bungalow Close to College and the Hospital. 2 Bedroom 1 Bath Upper Section. 1 Bed 1 Bath Lower Section. Currently Tenanted. New Shingles 2020, New Furnace 2018, Driveway done 2019 ,Parking for 3 Plus Driveway Space. (62904570)","2","1 + 2","750.0000","House",,"5 QUINLAN Road|Barrie, Ontario L4M6T2","-79.648132","44.41148","L4M6T2",,"$649,000 ","Single Family","4","Freehold","Central Vacuum, Dryer, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Golf Nearby, Hospital, Place of Worship, Public Transit",,"RES","https://cdn.realtor.ca/listing/TS637493307792030000/reb17/highres/4/40069804_1.jpg"
"S5120386","This 3 Bedroom, 2 Bath Home Is Located In Barrie's North End. Minutes To Shopping, Hospital, Public Transportation, Restaurants, Recreation Centers, And Area Schools. This Open Concept Raised Bungalow Features Extra Large Master Bedroom And A Large Second Bedroom. The Main Floor Layout Features Open Concept Living With Dining, Eat-In Kitchen, And Walk-Out To The Backyard Which Is Fully Fenced And Offers A 2-Tiered Oversized Deck.**** EXTRAS **** Main Area Overlooks The Basement And Allows For Lots Of Natural Light In Both Spaces. Basement Is Fully Finished W/Spacious Rec. Room, Bedroom,& 3Pc Bath. Also On The Lower Is The Laundry/Utility Room And Inside Entry To/From The Garage. (27954438)","2","3",,"House",,"74 AMBLER BAY ST|Barrie, Ontario L4M7A6","-79.6497826","44.4143391","L4M7A6","Grove East","$649,900 ","Single Family","3","Freehold",,,"Full (Finished)","Forced air (Natural gas)","41.01 x 105.18 FT",,"$3,861",,"https://cdn.realtor.ca/listing/TS637493189643630000/reb82/highres/6/s5120386_1.jpg"
"S5120532","Perfect Opportunity For Investors! This Large Boarding Lodging & Rooming House Was Previously Licensed By The City And In The Ideal Location For Students. Amazing Walk Score With Georgian College, Shopping, Restaurants And Transit A Short Walk Away, And Just Off Hwy 400! Currently Fully Tenanted This Is The Turn Key Investment You Have Been Looking For!**** EXTRAS **** 7 Units Currently Rented For $3425 Combined Monthly. Property Management Company In Place. Coin Operated Laundry To Offset Additional Costs. (27954589)","3","7",,"House",,"314 GROVE ST E|Barrie, Ontario L4M2R5","-79.6720274","44.4071605","L4M2R5","Grove East","$599,900 ","Single Family",,"Freehold",,,"N/A (Finished)","Forced air (Natural gas)","48.25 x 132.5 FT","Hospital, Park, Public Transit, Schools","$3,906.94",,"https://cdn.realtor.ca/listing/TS637500568831470000/reb82/highres/2/s5120532_1.jpg"
"N5119949","Minutes To Lake Simcoe In Alcona This 3 Bed 3 Bath Starter Home Is Awaiting New Family. It Is Clean & Well Taken Care Of. Features Neutral Decor, Lots Of Natural Light & Plenty Storage. Driveway Is Big Enough For 4 Cars. Garage Is Generous Sized & High, For Extra Storage. Well Laid Out Unfinished Basement. Fabulous Master With Walk In And Ensuite. Very Warm, Inviting Living With F/Place For Family Gatherings. Generous Size Dining Area With Much Light. Cold Rm ** This is a linked property.** **** EXTRAS **** Minutes To Go Station (Stroud) & 400. Walking Distance To Stores. Roof 2015, Fenced Yard, Garden Shed. Incl. Appliances, Window Blinds & Elfs. Cvac. Hwt (R). Close To Schools & Library. Rec Centre Close Proximity. Bike Ride/Walk To Beach. (27952669)","3","3",,"House",,"1194 ANDRADE LANE|Innisfil, Ontario L9S4X6","-79.5610093","44.3127549","L9S4X6","Alcona","$649,000 ","Single Family","5","Freehold",,,"N/A (Unfinished)","Forced air (Natural gas)","29.53 x 98.38 FT","Park","$3,137.34",,"https://cdn.realtor.ca/listing/TS637492766075300000/reb82/highres/9/n5119949_1.jpg"
"40069561","Minutes from Lake Simcoe in Alcona this 3 bedroom, 3 bathroom starter home is awaiting a new family. Home is clean and well taken care of. Features neutral decor, lots of natural light and plenty of storage. Driveway is big enough for 4 vehicles. Attached garage is generous in size and features high ceiling, for extra storage. Well laid out unfinished basement. Home features Fabulous Master with ensuite. Very warm and inviting great room with gas F/P for family gatherings. Generous size dining area with much natural light. Cold room. Few minute drive to the closest Go Train station (Stroud). Easy access to 400. Walking distance to Stores. New Roof 2015, Fenced Yard, Newer Shed. Included: Existing Kitchen Appliances, Clothes Washer and Dryer, All existing window blinds and CVAC. HWT (R) (62901738)","3","3 + 0",,"House",,"1194 ANDRADE Lane|Innisfil, Ontario L9S4X6","-79.56074108","44.31274255","L9S4X6",,"$649,000 ","Single Family","5","Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Stove, Washer, Microwave Built-in",,"Full (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Beach, Park",,"RS","https://cdn.realtor.ca/listing/TS637499293057330000/reb85/highres/1/40069561_1.jpg"
"40062377","This 3 bedroom, 2 bath home is located in Barrie's North end. Minutes to shopping, hospital, public transportation, restaurants, recreation centers, and area schools. This Open concept raised bungalow features Extra Large Master Bedroom and a Large Second Bedroom. The Main Floor layout features Open Concept living with Dining, Eat-In Kitchen, and walk-out to the backyard which is fully fenced and offers a 2-tiered oversized deck. The Main area overlooks the basement and allows for lots of natural light in both spaces. The basement is fully finished with a spacious recreation room, bedroom, and 3 piece bath. Also on the lower is the laundry/utility room and inside entry to/from the garage.  New Roof in 2020. Great for the Investor or Perfect Starter Home. (62894453)","2","2 + 1","1370.0000","House",,"74 AMBLER Bay|Barrie, Ontario L4M7A6","-79.649855","44.414392","L4M7A6",,"$649,900 ","Single Family","3","Freehold","Dryer, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Park, Public Transit, Schools, Shopping",,"RES,","https://cdn.realtor.ca/listing/TS637493562980100000/reb17/highres/7/40062377_1.jpg"
"S5118899","Gorgeous Move In Ready Family Detached Home With Separate Entrance To Finished Basement In Prime Central Barrie Location! This Recently Updated Home Features Hardwood Floors, Newly Finished Basement With Full 3 Pc Bathroom, Separate Entrance And Large Deck With A Private Fenced Backyard. Close To Highway 400, Barrie's Beautiful Waterfront And Numerous Other Amenities. Simply Move In And Enjoy! Don't Miss!**** EXTRAS **** All Existing Appliances: Fridge, Stove, Dishwasher, Washer And Dryer. All Window Coverings, All Elfs, Hot Water Tank Is Rental. (27948061)","3","3",,"House",,"29 KNICELY RD|Barrie, Ontario L4N6V3","-79.6621611","44.3624178","L4N6V3","Painswick North","$599,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","39.37 x 109.37 FT ; Rectangular",,"$3,860.60",,"https://cdn.realtor.ca/listing/TS637492331052770000/reb82/highres/9/s5118899_1.jpg"
"S5117824","Calling All First Time Home Buyers And Investors! Carpet Free! Fresh Paiting! Over 2000 Sqft Finished. Separate Living Room And Dining Room, Bright Kitchen With Breakfast Bar, Granite Countertops, Backsplash And Brand New Microwave. Finished Basement With Big Rec Room W/New Floor, Fireplace, Wet Bar, 3Pc Bathroom, Storage And Laundry Room/Utility Room. Sun Filled Master Bedroom With Double Closet And Semi Ensuite. Central Ac Replaced 2020, Roof 2017.**** EXTRAS **** Replaced Window & Door. Corner Lot, Fenced Yard, Big Deck. Close To College, Rvh, Shopping Center/Mall, Lake, Highway, Arena, Eastview Secondary School ...... (27944214)","3","3",,"House",,"10 HOPKINS RD|Barrie, Ontario L4M5X6","-79.6497939","44.4061188","L4M5X6","Grove East","$636,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","44.29 x 104.99 FT","Hospital, Park, Public Transit","$4,356",,"https://cdn.realtor.ca/listing/TS637491689252630000/reb82/highres/4/s5117824_1.jpg"
"40059795","CALLING ALL FIRST TIME HOME BUYERS AND INVESTORS! CARPET FREE! FRESH PAITING! OVER 2000 SQFT FINISHED. SEPARATE LIVING ROOM AND DINING ROOM, BRIGHT KITCHEN WITH BREAKFAST BAR, GRANITE COUNTERTOPS, BACKSPLASH AND BRAND NEW MICROWAVE. FINISHED BASEMENT WITH BIG REC ROOM W/NEW FLOOR, FIREPLACE, WET BAR, 3PC BATHROOM, STORAGE AND LAUNDRY ROOM/UTILITY ROOM. SUN FILLED MASTER BEDROOM WITH DOUBLE CLOSET AND SEMI ENSUITE. CENTRAL AC REPLACED 2020, ROOF 2017. CORNER LOT, FENCED YARD, BIG DECK. CLOSE TO COLLEGE, RVH, SHOPPING CENTER/MALL, LAKE, HIGHWAY, ARENA, EASTVIEW SECONDARY SCHOOL ...... (62884743)","3","3 + 0",,"House",,"10 HOPKINS Road|Barrie, Ontario L4M5X6","-79.649874","44.406021","L4M5X6",,"$636,000 ","Single Family","3","Freehold","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Water meter, Water softener, Wet Bar, Washer, Microwave Built-in, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Hospital, Park, Public Transit, Shopping",,"RES","https://cdn.realtor.ca/listing/TS637491543976030000/reb17/highres/5/40059795_1.jpg"
"S5113364","Amazing Property, This 2 Bedroom Plus Bungalow Is Located In The Area With Lots Of Potentials, A Perfect Home For First Time Home Buyers, Or Investors, Finished Basement With One Bedroom, Close To 400, School, Shopping.**** EXTRAS **** Fridge, Stove, Microwave, Washer And Dryer, (27927085)","1","2 + 1",,"House",,"387 EDGEHILL DR|Barrie, Ontario L4N9X5","-79.7342606","44.3786433","L4N9X5","Edgehill Drive","$649,000 ","Single Family","6","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","75 x 200 FT",,"$3,715",,"https://cdn.realtor.ca/listing/TS637487383949300000/reb82/highres/4/s5113364_1.jpg"
"40063460","Top 5 Reasons You Will Love This Home: 1) Ranch bungalow presenting a prime opportunity for a first-time home buyer 2) Main level layout featuring an eat-in kitchen, a large living room, and three bedrooms 3) Situated on a deep 60'x338' lot with ample space for children and pets to roam 4) Great location within close proximity to local schools, parks, a vast selection of amenities, and Highway 400 access 5) Just a short drive to Barrie, Angus, and Base Borden. Age 17. For info, photos & video, visit our website. (62855733)","1","3 + 0","1082.0000","House",,"722 COUNTY ROAD 90|Springwater, Ontario L4N9X1","-79.73820585","44.3642719","L4N9X1",,"$565,000 ","Single Family","6","Freehold","Dishwasher, Refrigerator, Stove",,"Crawl space (Unfinished)","Forced air, (Natural gas)","0.438 ac|under 1/2 acre","Golf Nearby, Schools",,"A","https://cdn.realtor.ca/listing/TS637495932986730000/reb17/highres/0/40063460_1.jpg"
"S5104254","Great Investment Property Right Next To Georgian College And Barrie Hospital. This 4 Plus 2 Bedroom Semi Is Rented And Managed By Professional Management Company. It Also Has A Coin Laundry On Main Floor Which Adds Up To Extra Income. Close To All Amenities Like Bus Stop, Shopping, College, Hospital. And Parks. Must Be Seen!!!!!!!**** EXTRAS **** Incl. Fridge, Stove, Coin Op Washer/Dryer, All Elf's, All Window Coverings. Hwt Rented. Excluded. (Any Tenant Belongings) (27889642)","3","4 + 2",,"House",,"36 SYLVIA ST|Barrie, Ontario L4M5J4","-79.672459","44.4084793","L4M5J4","Grove East","$549,900 ","Single Family",,"Freehold",,,"N/A (Finished)","Forced air (Natural gas)","31 x 120 FT","Hospital, Public Transit, Schools","$3,142",,"https://cdn.realtor.ca/listing/TS637480470906770000/reb82/highres/4/s5104254_1.jpg"
"S5096049","Amazing Property With A Beautifully Renovated Basement And Remodelled Bathrooms! Excellent Opportunity With A Separate Basement Entrance With 3 Bedrooms, Private Laundry And Kitchen!!!! Ideal For Investors Looking For A Steady Stream Of Income! Rental Income $4200/M + Utilities!**** EXTRAS **** 2 Washer , 2 Dryer, 2 Fridge, 2 Sstove, 2 Oven & Hot Water Tank (Rental) Minutes Away From Lake Simcoe! Don't Miss Out On This Amazing Opportunity! Quick Access To Highway 400, Shopping, Restaurants, Downtown Barrie, Lake Simcoe & Much More (27855753)","2","3 + 3",,"House",,"96 WELLINGTON ST E|Barrie, Ontario L4M2C5","-79.6874451","44.3967716","L4M2C5","Wellington","$599,999 ","Single Family","7","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","50 x 112 FT","Hospital, Park, Public Transit, Schools","$3,739.56",,"https://cdn.realtor.ca/listing/TS637473918966270000/reb82/highres/9/s5096049_1.jpg"
"40057701","Just under 10 private acres in the Minesing Wetlands!  No neighbours!   This is a great opportunity to take advantage of the environmental significant wetland for privacy.   Enjoy trails, Artisan fed pond and yet located close to Barrie.  4 bedrooms, 2 baths.  Open concept kitchen to living room.  Walk out basement.   Heated with propane.   Please review the multimedia and view pictures prior to booking a viewing. (62802203)","2","3 + 1","898.0000","House",,"2416 GEORGE JOHNSTON Road|Minesing, Ontario L9X1C2","-79.81655741","44.41334548","L9X1C2",,"$650,000 ","Single Family",,"Freehold","Dryer, Refrigerator, Stove, Washer",,"Full (Partially finished)","Other, (Propane)","10 - 24.99 acres",,,"Agricultural/EP","https://cdn.realtor.ca/listing/TS637492440393030000/reb24/highres/1/40057701_1.jpg"
